money,time,ret1,ret2,ret5,ret_lag1,ret_lag2,ret_lag3,dist_from_max,dist_from_min,zscore_10,vol_5,vol_10,mom_3,mom_5,streak,future_price,target
17,2026-06-24 00:30:00,0.0,0.0,0.0,0.0,0.0625,0.0,0.0,2.4053511772117266,0.8017837257372422,0.04290616017910344,0.05364660139872228,0.0625,0.003676470588235281,0,15.0,0
17,2026-06-24 00:31:00,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,2.831925489873835,0.6607826143038942,0.02795084971874739,0.05364660139872228,0.0,0.0625,0,14.0,0
17,2026-06-24 00:35:00,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,2.860387767736427,0.5720775535472834,0.02795084971874739,0.05364660139872228,0.0,0.0625,0,14.0,0
15,2026-06-24 00:36:00,-0.11764705882352944,-0.11764705882352944,-0.11764705882352944,0.0,0.0,0.0,-2.860387767736427,0.0,-2.288310214189144,0.05261336417646565,0.06578379929763897,-0.11764705882352944,-0.11764705882352944,-1,13.0,0
13,2026-06-24 00:37:00,-0.1333333333333333,-0.23529411764705888,-0.23529411764705888,-0.11764705882352944,0.0,0.0,-3.0382181012508935,0.0,-2.4305744810007144,0.06895719102849651,0.06043283036905924,-0.25098039215686274,-0.25098039215686274,-2,14.0,1
15,2026-06-24 00:38:00,0.15384615384615374,0.0,-0.11764705882352944,-0.1333333333333333,-0.11764705882352944,0.0,-1.499999999999948,1.499999999999948,-0.749999999999974,0.11554245456802756,0.08285212359549539,-0.097134238310709,-0.097134238310709,1,15.0,0
14,2026-06-24 00:39:00,-0.06666666666666665,0.07692307692307687,-0.17647058823529416,0.15384615384615374,-0.1333333333333333,-0.11764705882352944,-2.0328927815367575,0.6776309271789192,-1.2197356689220549,0.1165821002888331,0.08340780298587852,-0.04615384615384621,-0.16380090497737565,-1,16.0,1
14,2026-06-24 00:40:00,0.0,-0.06666666666666665,-0.17647058823529416,-0.06666666666666665,0.15384615384615374,-0.1333333333333333,-1.9015970731391145,0.6338656910463715,-1.0141851056741942,0.1165821002888331,0.08340780298587852,0.08717948717948709,-0.16380090497737565,0,16.0,1
13,2026-06-24 00:41:00,-0.0714285714285714,-0.0714285714285714,-0.1333333333333333,0.0,-0.06666666666666665,0.15384615384615374,-2.3717082451262317,0.0,-1.304439534819427,0.10980411775850887,0.08117227351244224,-0.13809523809523805,-0.11758241758241761,-1,17.0,1
14,2026-06-24 00:42:00,0.07692307692307687,0.0,0.07692307692307687,-0.0714285714285714,0.0,-0.06666666666666665,-1.8807227078785311,0.6269075692928437,-0.5642168123635596,0.09671425734310211,0.08707901947415397,0.005494505494505475,0.09267399267399257,1,16.0,1
15,2026-06-24 00:43:00,0.0714285714285714,0.15384615384615374,0.0,0.07692307692307687,-0.0714285714285714,0.0,-1.4103014841667605,1.4103014841667605,0.2115452226250146,0.07166702004782523,0.09134681008875951,0.07692307692307687,0.01025641025641022,2,16.0,1
16,2026-06-24 00:44:00,0.06666666666666665,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.07692307692307687,-0.0714285714285714,-0.7905694150420631,2.3717082451261895,1.1067971810588888,0.06411334289283593,0.09443194401922539,0.21501831501831492,0.14358974358974352,3,15.0,0
16,2026-06-24 00:45:00,0.0,0.06666666666666665,0.1428571428571428,0.06666666666666665,0.0714285714285714,0.07692307692307687,0.0,2.7774602993175006,1.3887301496587503,0.06411334289283593,0.09443194401922539,0.13809523809523805,0.14358974358974352,0,17.0,1
17,2026-06-24 00:47:00,0.0625,0.0625,0.3076923076923077,0.0,0.06666666666666665,0.0714285714285714,0.0,2.990668717675254,1.7196345126632717,0.03149052234388793,0.08679788015014163,0.12916666666666665,0.2775183150183149,1,17.0,0
16,2026-06-24 00:48:00,-0.05882352941176472,0.0,0.1428571428571428,0.0625,0.0,0.06666666666666665,-0.8017837257372407,2.405351177211722,0.8017837257372407,0.05677389231993298,0.07494349594644051,0.003676470588235281,0.14177170868347333,-1,17.0,1
16,2026-06-24 00:49:00,0.0,-0.05882352941176472,0.06666666666666665,-0.05882352941176472,0.0625,0.0,-0.7771916402262303,2.331574920678691,0.6994724762036075,0.05201266832495903,0.05937354367000835,0.003676470588235281,0.07034313725490193,0,17.0,1
15,2026-06-24 00:50:00,-0.0625,-0.0625,-0.0625,0.0,-0.05882352941176472,0.0625,-1.6269784336398543,1.6269784336398543,-0.16269784336398485,0.051431182394451595,0.05880274213774311,-0.12132352941176472,-0.05882352941176472,-1,17.0,1
17,2026-06-24 00:51:00,0.1333333333333333,0.0625,0.0625,-0.0625,0.0,-0.05882352941176472,0.0,3.1513543886332207,1.1817578957374577,0.08357652663001196,0.07060014948692211,0.0708333333333333,0.07450980392156858,1,17.0,0
17,2026-06-24 00:52:00,0.0,0.1333333333333333,0.0,0.1333333333333333,-0.0625,0.0,0.0,3.016806854192774,1.106162513204017,0.07923917640944346,0.06336093893860298,0.0708333333333333,0.012009803921568585,0,17.0,0
17,2026-06-24 00:53:00,0.0,0.0,0.0625,0.0,0.1333333333333333,-0.0625,0.0,2.535462764185307,1.0141851056741236,0.0719036778537015,0.06153308077043573,0.1333333333333333,0.0708333333333333,0,17.0,0
17,2026-06-24 00:54:00,0.0,0.0,0.0625,0.0,0.0,0.1333333333333333,0.0,2.860387767736431,0.8581163303209314,0.0719036778537015,0.05916253530168106,0.0,0.0708333333333333,0,15.0,0
17,2026-06-24 00:55:00,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,2.828427124745857,0.7071067811864642,0.05962847939999435,0.05626851725056235,0.0,0.1333333333333333,0,16.0,0
17,2026-06-24 00:56:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.860387767736433,0.5720775535472845,0.0,0.05626851725056235,0.0,0.0,0,17.0,0
17,2026-06-24 00:57:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.860387767736433,0.5720775535472845,0.0,0.05284128420847883,0.0,0.0,0,17.0,0
17,2026-06-24 00:58:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9631887899483873,0.44447831849225916,0.0,0.048513791471734784,0.0,0.0,0,17.0,0
15,2026-06-24 00:59:00,-0.11764705882352944,-0.11764705882352944,-0.11764705882352944,0.0,0.0,0.0,-2.371708245126087,0.0,-1.8973665961008712,0.05261336417646565,0.06263270865235553,-0.11764705882352944,-0.11764705882352944,-1,16.0,1
16,2026-06-24 01:00:00,0.06666666666666665,-0.05882352941176472,-0.05882352941176472,-0.11764705882352944,0.0,0.0,-1.4815943949741937,1.4815943949741937,-1.0371160764819345,0.06664359462352315,0.06270287250199036,-0.050980392156862786,-0.050980392156862786,1,16.0,0
17,2026-06-24 01:01:00,0.0625,0.1333333333333333,0.0,0.06666666666666665,-0.11764705882352944,0.0,0.0,2.9631887899483873,0.44447831849225916,0.07443954698495199,0.04964121804149083,0.011519607843137214,0.011519607843137214,2,15.0,0
